Certificate Holder ID,Certificate ID,Country,Certificate Type,Certificate end date,Certificate start date,Error
CHAB387D,LI305F73,Country B,,2024-03-15 00:00:00,2023-03-16 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHAF121B,LI612A8D,Country A,Group Of Small Farms,1900-01-01 00:00:00,1900-01-01 00:00:00,Invalid Certificate Dates
CHAFFDD1,LIDA9862,Country A,,2023-05-03 00:00:00,2022-05-03 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHB6B467,LIA7886E,Country A,,2023-12-15 00:00:00,2022-09-15 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHC8876E,LI69840D,Country D,Single Farm,,,"Certificate end date is empty, Certificate start date is empty, Invalid Certificate Dates"
CHCE623E,LIA917A9,Country D,,2023-10-15 00:00:00,2022-10-15 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHCE623E,LIAD6348,Country D,,2024-10-15 00:00:00,2023-10-16 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHD20D3F,LI9D837D,Country C,,2022-10-15 00:00:00,2021-10-15 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHDFE2EB,LI357637,Country B,Single Farm,1900-01-01 00:00:00,1900-01-01 00:00:00,Invalid Certificate Dates
CHE0D3EE,LI94BDC1,Country A,,2023-12-12 00:00:00,2022-12-12 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHE43270,LI1CA835,Country A,,2023-11-28 00:00:00,2022-08-29 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHE905CA,LI22A431,Country D,,2023-05-23 00:00:00,2022-05-24 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHE98FC1,LIDF5A22,Country B,,2023-07-29 00:00:00,2022-07-30 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHEB3AAD,LI27F0F9,Country D,,2022-11-30 00:00:00,2021-11-30 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHEB3AAD,LI2C3085,Country D,,2023-11-30 00:00:00,2022-12-01 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHEC3CF6,LIBCCEA3,Country B,,2023-05-29 00:00:00,2022-05-30 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHF08F5F,LIADC415,Country D,,2024-04-17 00:00:00,2023-04-18 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHF1A2D9,LIAB9AF2,Country B,,2024-05-28 00:00:00,2023-05-29 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
CHFF65A5,LI774E46,Country A,,2023-12-01 00:00:00,2022-12-02 00:00:00,"Certificate Type is empty, Invalid Certificate Type"
